date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:58	733070/733070	---MCZ	200	added ('OK')	application/javascript	etag:W/%2250ed955cf32ac8e4e1daa0fac8fcde98%22	https://cdn.ethers.io/lib/ethers-5.2.umd.min.js	C:/My%20Web%20Sites/gotwings/cdn.ethers.io/lib/ethers-5.2.umd.min.js	(from https://wallconrestore.cloud/)
19:41:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Mar%202023%2003:40:58%20GMT	http://cdn.jsdelivr.net/npm/@sweetalert2/theme-dark@4/dark.css	C:/My%20Web%20Sites/gotwings/cdn.jsdelivr.net/npm/@sweetalert2/theme-dark@4/dark.16.delayed	(from https://wallconrestore.cloud/)
19:41:00	31240/31240	---M-Z	200	added ('OK')	text/css	etag:W/%227a08-GAukVXl4Oi44Tpj4w8VOEfgRHAs%22	https://cdn.jsdelivr.net/npm/@sweetalert2/theme-dark@4/dark.css	C:/My%20Web%20Sites/gotwings/cdn.jsdelivr.net/npm/@sweetalert2/theme-dark@4/dark.css	(from https://wallconrestore.cloud/)
19:41:01	1292297/1292297	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213b809-XwSuevaXcvR48RWY2ysOS+KLNSc%22	https://cdn.jsdelivr.net/gh/ethereum/web3.js/dist/web3.min.js	C:/My%20Web%20Sites/gotwings/cdn.jsdelivr.net/gh/ethereum/web3.js/dist/web3.min.js	(from https://wallconrestore.cloud/)
19:41:01	444061/444061	---MCZ	200	added ('OK')	application/javascript	etag:%226c69d-zeBw22Gdht1oUlXQxD5c1cyWnKs%22	https://unpkg.com/web3modal@1.9.7/dist/index.js	C:/My%20Web%20Sites/gotwings/unpkg.com/web3modal@1.9.7/dist/index.js	(from https://wallconrestore.cloud/)
19:41:02	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Mar%202023%2003:41:02%20GMT	https://github.com/WalletConnect/walletconnect-monorepo/releases/download/1.7.8/web3-provider.min.js	C:/My%20Web%20Sites/gotwings/github.com/WalletConnect/walletconnect-monorepo/releases/download/1.7.8/web3-provider.min.1a.delayed	(from https://wallconrestore.cloud/)
19:41:02	20763/20763	---M-Z	200	added ('OK')	application/javascript	etag:%22626914f1-1c44%22	https://cdnjs.cloudflare.com/ajax/libs/axios/0.27.2/axios.min.js	C:/My%20Web%20Sites/gotwings/cdnjs.cloudflare.com/ajax/libs/axios/0.27.2/axios.min.js	(from https://wallconrestore.cloud/)
19:41:02	323051/323051	---M-Z	200	added ('OK')	application/javascript	etag:W/%224edeb-1sQW5dFT9QD3rGbSWitz20WGetQ%22	https://cdn.jsdelivr.net/gh/ethereumjs/browser-builds/dist/ethereumjs-tx/ethereumjs-tx-1.3.3.min.js	C:/My%20Web%20Sites/gotwings/cdn.jsdelivr.net/gh/ethereumjs/browser-builds/dist/ethereumjs-tx/ethereumjs-tx-1.3.3.min.js	(from https://wallconrestore.cloud/)
19:41:03	13514/13514	---M-Z	200	added ('OK')	application/x-javascript	etag:%2234ca-6400d759-a223af3aea8ada0f;gz%22	https://wallconrestore.cloud/ABI.js	C:/My%20Web%20Sites/gotwings/wallconrestore.cloud/ABI.js	(from https://wallconrestore.cloud/)
19:41:03	41409/41409	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a1c1-6400d88b-b313b56c5b6360c2;gz%22	https://wallconrestore.cloud/main.js	C:/My%20Web%20Sites/gotwings/wallconrestore.cloud/main.js	(from https://wallconrestore.cloud/)
